Emotion,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Negative,Positive,Word,Number of Records
trust,,,,,,,, trust,,,digit,1
trust,,,,,,,, trust,,,disciple,1
trust,,,,,,,, trust,,,disclosed,1
trust,,,,,,,, trust,,,divan,1
trust,,,,,,,, trust,,,doctrine,1
trust,,,,,,,, trust,,,dogma,1
trust,,,,,,,, trust,,,downright,1
trust,,,,,,,, trust,,,eagle,1
trust,,,,,,,, trust,,,economy,1
trust,,,,,,,, trust,,,electorate,1
trust,,,,,,,, trust,,,emphasize,1
trust,,,,,,,, trust,,,employ,1
trust,,,,,,,, trust,,,entrust,1
trust,,,,,,,, trust,,,episcopal,1
trust,,,,,,,, trust,,,escort,1
trust,,,,,,,, trust,,,establish,1
trust,,,,,,,, trust,,,executor,1
trust,,,,,,,, trust,,,exhaustive,1
trust,,,,,,,, trust,,,eyewitness,1
trust,,,,,,,, trust,,,fact,1
trust,,,,,,,, trust,,,father,1
trust,,,,,,,, trust,,,fender,1
trust,,,,,,,, trust,,,fill,1
trust,,,,,,,, trust,,,fireman,1
trust,,,,,,,, trust,,,fixed,1
trust,,,,,,,, trust,,,flagship,1
trust,,,,,,,, trust,,,flange,1
trust,,,,,,,, trust,,,follower,1
trust,,,,,,,, trust,,,footing,1
trust,,,,,,,, trust,,,formality,1
trust,,,,,,,, trust,,,fort,1
trust,,,,,,,, trust,,,framework,1
trust,,,,,,,, trust,,,gage,1
trust,,,,,,,, trust,,,gate,1
trust,,,,,,,, trust,,,gateway,1
trust,,,,,,,, trust,,,gauging,1
trust,,,,,,,, trust,,,governess,1
trust,,,,,,,, trust,,,governor,1
trust,,,,,,,, trust,,,grammar,1
trust,,,,,,,, trust,,,grandfather,1
trust,,,,,,,, trust,,,ground,1
trust,,,,,,,, trust,,,guarded,1
trust,,,,,,,, trust,,,gusset,1
trust,,,,,,,, trust,,,handbook,1
trust,,,,,,,, trust,,,harbor,1
trust,,,,,,,, trust,,,heritage,1
trust,,,,,,,, trust,,,horse,1
trust,,,,,,,, trust,,,immunization,1
trust,,,,,,,, trust,,,impenetrable,1
trust,,,,,,,, trust,,,impressionable,1
trust,,,,,,,, trust,,,incline,1
trust,,,,,,,, trust,,,inclusion,1
trust,,,,,,,, trust,,,indent,1
trust,,,,,,,, trust,,,indivisible,1
trust,,,,,,,, trust,,,infallibility,1
trust,,,,,,,, trust,,,inform,1
trust,,,,,,,, trust,,,institute,1
trust,,,,,,,, trust,,,insulation,1
trust,,,,,,,, trust,,,intend,1
trust,,,,,,,, trust,,,intercession,1
trust,,,,,,,, trust,,,journalism,1
trust,,,,,,,, trust,,,journeyman,1
trust,,,,,,,, trust,,,jurist,1
trust,,,,,,,, trust,,,jury,1
trust,,,,,,,, trust,,,knickers,1
trust,,,,,,,, trust,,,label,1
trust,,,,,,,, trust,,,landmark,1
trust,,,,,,,, trust,,,law,1
trust,,,,,,,, trust,,,leading,1
trust,,,,,,,, trust,,,leaning,1
trust,,,,,,,, trust,,,legislator,1
trust,,,,,,,, trust,,,legislature,1
trust,,,,,,,, trust,,,legitimacy,1
trust,,,,,,,, trust,,,lender,1
trust,,,,,,,, trust,,,levee,1
trust,,,,,,,, trust,,,lieutenant,1
trust,,,,,,,, trust,,,lodging,1
trust,,,,,,,, trust,,,machine,1
trust,,,,,,,, trust,,,maintenance,1
trust,,,,,,,, trust,,,mamma,1
trust,,,,,,,, trust,,,manual,1
trust,,,,,,,, trust,,,marine,1
trust,,,,,,,, trust,,,mathematical,1
trust,,,,,,,, trust,,,maxim,1
trust,,,,,,,, trust,,,measure,1
trust,,,,,,,, trust,,,merchant,1
trust,,,,,,,, trust,,,messenger,1
trust,,,,,,,, trust,,,microscope,1
trust,,,,,,,, trust,,,moat,1
trust,,,,,,,, trust,,,monogamy,1
trust,,,,,,,, trust,,,moorings,1
trust,,,,,,,, trust,,,mortgagee,1
trust,,,,,,,, trust,,,nation,1
trust,,,,,,,, trust,,,nest,1
trust,,,,,,,, trust,,,neutrality,1
trust,,,,,,,, trust,,,notary,1
trust,,,,,,,, trust,,,obstetrician,1
trust,,,,,,,, trust,,,offering,1
trust,,,,,,,, trust,,,official,1
trust,,,,,,,, trust,,,ordinance,1
trust,,,,,,,, trust,,,orthodoxy,1
trust,,,,,,,, trust,,,pact,1
trust,,,,,,,, trust,,,parish,1
trust,,,,,,,, trust,,,parliament,1
trust,,,,,,,, trust,,,patrol,1
trust,,,,,,,, trust,,,pavement,1
trust,,,,,,,, trust,,,periodicity,1
trust,,,,,,,, trust,,,personal,1
trust,,,,,,,, trust,,,persuade,1
trust,,,,,,,, trust,,,philanthropic,1
trust,,,,,,,, trust,,,physicist,1
trust,,,,,,,, trust,,,policy,1
trust,,,,,,,, trust,,,poll,1
trust,,,,,,,, trust,,,pontiff,1
trust,,,,,,,, trust,,,preponderance,1
trust,,,,,,,, trust,,,presumption,1
trust,,,,,,,, trust,,,prevalent,1
trust,,,,,,,, trust,,,professorship,1
trust,,,,,,,, trust,,,proof,1
trust,,,,,,,, trust,,,protected,1
trust,,,,,,,, trust,,,proven,1
trust,,,,,,,, trust,,,proviso,1
trust,,,,,,,, trust,,,proxy,1
trust,,,,,,,, trust,,,putative,1
trust,,,,,,,, trust,,,radar,1
trust,,,,,,,, trust,,,ranger,1
trust,,,,,,,, trust,,,ratify,1
trust,,,,,,,, trust,,,recruits,1
trust,,,,,,,, trust,,,referee,1
trust,,,,,,,, trust,,,registry,1
trust,,,,,,,, trust,,,reinforcements,1
trust,,,,,,,, trust,,,related,1
trust,,,,,,,, trust,,,relative,1
trust,,,,,,,, trust,,,religion,1
trust,,,,,,,, trust,,,retain,1
trust,,,,,,,, trust,,,safekeeping,1
trust,,,,,,,, trust,,,sappy,1
trust,,,,,,,, trust,,,sceptical,1
trust,,,,,,,, trust,,,school,1
trust,,,,,,,, trust,,,scripture,1
trust,,,,,,,, trust,,,seals,1
trust,,,,,,,, trust,,,secret,1
trust,,,,,,,, trust,,,securities,1
trust,,,,,,,, trust,,,senate,1
trust,,,,,,,, trust,,,sentry,1
trust,,,,,,,, trust,,,series,1
trust,,,,,,,, trust,,,sheriff,1
trust,,,,,,,, trust,,,shopkeeper,1
trust,,,,,,,, trust,,,show,1
trust,,,,,,,, trust,,,sib,1
trust,,,,,,,, trust,,,signature,1
trust,,,,,,,, trust,,,smith,1
trust,,,,,,,, trust,,,solidarity,1
trust,,,,,,,, trust,,,sovereign,1
trust,,,,,,,, trust,,,specialist,1
trust,,,,,,,, trust,,,specialize,1
trust,,,,,,,, trust,,,spokesman,1
trust,,,,,,,, trust,,,statistical,1
trust,,,,,,,, trust,,,structural,1
trust,,,,,,,, trust,,,substantiate,1
trust,,,,,,,, trust,,,suggest,1
trust,,,,,,,, trust,,,surrogate,1
trust,,,,,,,, trust,,,system,1
trust,,,,,,,, trust,,,tandem,1
trust,,,,,,,, trust,,,tantamount,1
trust,,,,,,,, trust,,,taught,1
trust,,,,,,,, trust,,,team,1
trust,,,,,,,, trust,,,temperate,1
trust,,,,,,,, trust,,,testimony,1
trust,,,,,,,, trust,,,theological,1
trust,,,,,,,, trust,,,theorem,1
trust,,,,,,,, trust,,,thermometer,1
trust,,,,,,,, trust,,,trade,1
trust,,,,,,,, trust,,,trainer,1
trust,,,,,,,, trust,,,transaction,1
trust,,,,,,,, trust,,,transcript,1
trust,,,,,,,, trust,,,translation,1
trust,,,,,,,, trust,,,treasurer,1
trust,,,,,,,, trust,,,tribe,1
trust,,,,,,,, trust,,,tribune,1
trust,,,,,,,, trust,,,truck,1
trust,,,,,,,, trust,,,truss,1
trust,,,,,,,, trust,,,trust,1
trust,,,,,,,, trust,,,trustee,1
trust,,,,,,,, trust,,,truthful,1
trust,,,,,,,, trust,,,unequivocal,1
trust,,,,,,,, trust,,,volunteers,1
trust,,,,,,,, trust,,,votive,1
trust,,,,,,,, trust,,,voucher,1
trust,,,,,,,, trust,,,witness,1
surprise,,,,,,, surprise,,,,abrupt,1
surprise,,,,,,, surprise,,,,accidentally,1
surprise,,,,,,, surprise,,,,amaze,1
surprise,,,,,,, surprise,,,,blitz,1
surprise,,,,,,, surprise,,,,break,1
surprise,,,,,,, surprise,,,,burlesque,1
surprise,,,,,,, surprise,,,,cable,1
surprise,,,,,,, surprise,,,,camouflage,1
surprise,,,,,,, surprise,,,,camouflaged,1
surprise,,,,,,, surprise,,,,catch,1
surprise,,,,,,, surprise,,,,chance,1
surprise,,,,,,, surprise,,,,coincidence,1
surprise,,,,,,, surprise,,,,decoy,1
surprise,,,,,,, surprise,,,,differently,1
surprise,,,,,,, surprise,,,,dynamic,1
surprise,,,,,,, surprise,,,,exclaim,1
surprise,,,,,,, surprise,,,,fluke,1
surprise,,,,,,, surprise,,,,gape,1
surprise,,,,,,, surprise,,,,gasp,1
surprise,,,,,,, surprise,,,,gawk,1
surprise,,,,,,, surprise,,,,guess,1
surprise,,,,,,, surprise,,,,immediacy,1
surprise,,,,,,, surprise,,,,improvisation,1
surprise,,,,,,, surprise,,,,incident,1
surprise,,,,,,, surprise,,,,incontinence,1
surprise,,,,,,, surprise,,,,infrequent,1
surprise,,,,,,, surprise,,,,jolt,1
surprise,,,,,,, surprise,,,,judgment,1
surprise,,,,,,, surprise,,,,leery,1
surprise,,,,,,, surprise,,,,lunge,1
surprise,,,,,,, surprise,,,,magician,1
surprise,,,,,,, surprise,,,,modify,1
surprise,,,,,,, surprise,,,,mouth,1
surprise,,,,,,, surprise,,,,mystic,1
surprise,,,,,,, surprise,,,,occasional,1
surprise,,,,,,, surprise,,,,outrageous,1
surprise,,,,,,, surprise,,,,overestimate,1
surprise,,,,,,, surprise,,,,palpable,1
surprise,,,,,,, surprise,,,,perchance,1
surprise,,,,,,, surprise,,,,peri,1
surprise,,,,,,, surprise,,,,placard,1
surprise,,,,,,, surprise,,,,polarity,1
surprise,,,,,,, surprise,,,,premature,1
surprise,,,,,,, surprise,,,,randomly,1
surprise,,,,,,, surprise,,,,rapid,1
surprise,,,,,,, surprise,,,,rarity,1
surprise,,,,,,, surprise,,,,reappear,1
surprise,,,,,,, surprise,,,,reflex,1
surprise,,,,,,, surprise,,,,riddle,1
surprise,,,,,,, surprise,,,,sally,1
surprise,,,,,,, surprise,,,,shockingly,1
surprise,,,,,,, surprise,,,,singularly,1
surprise,,,,,,, surprise,,,,splash,1
surprise,,,,,,, surprise,,,,stagger,1
surprise,,,,,,, surprise,,,,startling,1
surprise,,,,,,, surprise,,,,stealth,1
surprise,,,,,,, surprise,,,,stealthily,1
surprise,,,,,,, surprise,,,,subito,1
surprise,,,,,,, surprise,,,,sudden,1
surprise,,,,,,, surprise,,,,suddenly,1
surprise,,,,,,, surprise,,,,surge,1
surprise,,,,,,, surprise,,,,surprised,1
surprise,,,,,,, surprise,,,,surprising,1
surprise,,,,,,, surprise,,,,topple,1
surprise,,,,,,, surprise,,,,trip,1
surprise,,,,,,, surprise,,,,trump,1
surprise,,,,,,, surprise,,,,unanticipated,1
surprise,,,,,,, surprise,,,,uncover,1
surprise,,,,,,, surprise,,,,underestimate,1
surprise,,,,,,, surprise,,,,undiscovered,1
surprise,,,,,,, surprise,,,,unexpectedly,1
surprise,,,,,,, surprise,,,,unforeseen,1
surprise,,,,,,, surprise,,,,unguarded,1
surprise,,,,,,, surprise,,,,unintended,1
surprise,,,,,,, surprise,,,,unintentional,1
surprise,,,,,,, surprise,,,,unprecedented,1
surprise,,,,,,, surprise,,,,unsuspecting,1
surprise,,,,,,, surprise,,,,vanish,1
surprise,,,,,,, surprise,,,,variable,1
surprise,,,,,,, surprise,,,,zany,1
surprise,,,,,,, surprise, trust,,,assessment,1
surprise,,,,,,, surprise, trust,,,secrecy,1
surprise,,,,,,, surprise, trust,,,steady,1
trust,,,,,,, surprise, trust,,,assessment,1
trust,,,,,,, surprise, trust,,,secrecy,1
trust,,,,,,, surprise, trust,,,steady,1
sadness,,,,,, sadness,,,,,blue,1
sadness,,,,,, sadness,,,,,bury,1
sadness,,,,,, sadness,,,,,calamity,1
sadness,,,,,, sadness,,,,,cloudy,1
sadness,,,,,, sadness,,,,,corse,1
sadness,,,,,, sadness,,,,,couch,1
sadness,,,,,, sadness,,,,,cremation,1
sadness,,,,,, sadness,,,,,dark,1
sadness,,,,,, sadness,,,,,decomposed,1
sadness,,,,,, sadness,,,,,deviation,1
sadness,,,,,, sadness,,,,,drugged,1
sadness,,,,,, sadness,,,,,emptiness,1
sadness,,,,,, sadness,,,,,epitaph,1
sadness,,,,,, sadness,,,,,funeral,1
sadness,,,,,, sadness,,,,,furrow,1
sadness,,,,,, sadness,,,,,hospice,1
sadness,,,,,, sadness,,,,,invalid,1
sadness,,,,,, sadness,,,,,isolate,1
sadness,,,,,, sadness,,,,,jurisprudence,1
sadness,,,,,, sadness,,,,,kennel,1
sadness,,,,,, sadness,,,,,lamenting,1
sadness,,,,,, sadness,,,,,lone,1
sadness,,,,,, sadness,,,,,mausoleum,1
sadness,,,,,, sadness,,,,,meek,1
sadness,,,,,, sadness,,,,,memorials,1
sadness,,,,,, sadness,,,,,napkin,1
sadness,,,,,, sadness,,,,,necessity,1
sadness,,,,,, sadness,,,,,older,1
sadness,,,,,, sadness,,,,,parting,1
sadness,,,,,, sadness,,,,,pensive,1
sadness,,,,,, sadness,,,,,pity,1
sadness,,,,,, sadness,,,,,plaintive,1
sadness,,,,,, sadness,,,,,rainy,1
sadness,,,,,, sadness,,,,,refugee,1
sadness,,,,,, sadness,,,,,relics,1
sadness,,,,,, sadness,,,,,requiem,1
sadness,,,,,, sadness,,,,,severance,1
sadness,,,,,, sadness,,,,,shroud,1
sadness,,,,,, sadness,,,,,snort,1
sadness,,,,,, sadness,,,,,stricken,1
sadness,,,,,, sadness,,,,,sympathize,1
sadness,,,,,, sadness,,,,,terminate,1
sadness,,,,,, sadness,,,,,terribly,1
sadness,,,,,, sadness,,,,,terrific,1
sadness,,,,,, sadness,,,,,tomb,1
sadness,,,,,, sadness,,,,,unacknowledged,1
sadness,,,,,, sadness,,,,,undertaker,1
sadness,,,,,, sadness,,,,,uninvited,1
sadness,,,,,, sadness,,,,,unseat,1
sadness,,,,,, sadness,,,,,urn,1
sadness,,,,,, sadness,,,,,weeping,1
sadness,,,,,, sadness,,,,,widow,1
sadness,,,,,, sadness,,,,,widower,1
sadness,,,,,, sadness,,,,,wrinkled,1
sadness,,,,,, sadness,, trust,,,hermit,1
sadness,,,,,, sadness,, trust,,,veal,1
trust,,,,,, sadness,, trust,,,hermit,1
trust,,,,,, sadness,, trust,,,veal,1
sadness,,,,,, sadness, surprise,,,,evanescence,1
surprise,,,,,, sadness, surprise,,,,evanescence,1
positive,,,,,,,,,, positive,abba,1
positive,,,,,,,,,, positive,ability,1
positive,,,,,,,,,, positive,abovementioned,1
positive,,,,,,,,,, positive,absolute,1
positive,,,,,,,,,, positive,absorbed,1
positive,,,,,,,,,, positive,academy,1
positive,,,,,,,,,, positive,acceptable,1
positive,,,,,,,,,, positive,acceptance,1
positive,,,,,,,,,, positive,accessible,1
positive,,,,,,,,,, positive,accommodation,1
positive,,,,,,,,,, positive,accomplishment,1
positive,,,,,,,,,, positive,accueil,1
positive,,,,,,,,,, positive,ace,1
positive,,,,,,,,,, positive,acknowledgment,1
positive,,,,,,,,,, positive,acquire,1
positive,,,,,,,,,, positive,action,1
positive,,,,,,,,,, positive,actual,1
positive,,,,,,,,,, positive,acuity,1
positive,,,,,,,,,, positive,acumen,1
positive,,,,,,,,,, positive,adapt,1
positive,,,,,,,,,, positive,adaptable,1
positive,,,,,,,,,, positive,adept,1
positive,,,,,,,,,, positive,adequacy,1
positive,,,,,,,,,, positive,adjunct,1
positive,,,,,,,,,, positive,admirer,1
positive,,,,,,,,,, positive,advanced,1
positive,,,,,,,,,, positive,advancement,1
positive,,,,,,,,,, positive,advantage,1
positive,,,,,,,,,, positive,advantageous,1
positive,,,,,,,,,, positive,adventurous,1
positive,,,,,,,,,, positive,aesthetic,1
positive,,,,,,,,,, positive,affable,1
positive,,,,,,,,,, positive,affiliated,1
positive,,,,,,,,,, positive,affirmation,1
positive,,,,,,,,,, positive,affirmative,1
positive,,,,,,,,,, positive,affluent,1
positive,,,,,,,,,, positive,afford,1
positive,,,,,,,,,, positive,agile,1
positive,,,,,,,,,, positive,agility,1
positive,,,,,,,,,, positive,agree,1
positive,,,,,,,,,, positive,agriculture,1
positive,,,,,,,,,, positive,ahead,1
positive,,,,,,,,,, positive,aid,1
positive,,,,,,,,,, positive,aiding,1
positive,,,,,,,,,, positive,alabaster,1
positive,,,,,,,,,, positive,alimentation,1
positive,,,,,,,,,, positive,allay,1
positive,,,,,,,,,, positive,allegro,1
positive,,,,,,,,,, positive,alleviate,1
positive,,,,,,,,,, positive,alleviation,1
positive,,,,,,,,,, positive,allowable,1
positive,,,,,,,,,, positive,alluring,1
positive,,,,,,,,,, positive,almighty,1
positive,,,,,,,,,, positive,ameliorate,1
positive,,,,,,,,,, positive,amenable,1
positive,,,,,,,,,, positive,amend,1
positive,,,,,,,,,, positive,amends,1
positive,,,,,,,,,, positive,amenity,1
positive,,,,,,,,,, positive,amiable,1
positive,,,,,,,,,, positive,anchor,1
positive,,,,,,,,,, positive,animate,1
positive,,,,,,,,,, positive,antibiotics,1
positive,,,,,,,,,, positive,antique,1
positive,,,,,,,,,, positive,aplomb,1
positive,,,,,,,,,, positive,apology,1
positive,,,,,,,,,, positive,approval,1
positive,,,,,,,,,, positive,approving,1
positive,,,,,,,,,, positive,apt,1
positive,,,,,,,,,, positive,aptitude,1
positive,,,,,,,,,, positive,ardor,1
positive,,,,,,,,,, positive,aristocracy,1
positive,,,,,,,,,, positive,aristocratic,1
positive,,,,,,,,,, positive,aroma,1
positive,,,,,,,,,, positive,array,1
positive,,,,,,,,,, positive,articulate,1
positive,,,,,,,,,, positive,articulation,1
positive,,,,,,,,,, positive,artisan,1
positive,,,,,,,,,, positive,artiste,1
positive,,,,,,,,,, positive,artistic,1
positive,,,,,,,,,, positive,ascendancy,1
positive,,,,,,,,,, positive,ascent,1
positive,,,,,,,,,, positive,assent,1
positive,,,,,,,,,, positive,assets,1
positive,,,,,,,,,, positive,assistance,1
positive,,,,,,,,,, positive,assuage,1
positive,,,,,,,,,, positive,astronaut,1
positive,,,,,,,,,, positive,astute,1
positive,,,,,,,,,, positive,athlete,1
positive,,,,,,,,,, positive,athletic,1
positive,,,,,,,,,, positive,atom,1
positive,,,,,,,,,, positive,atonement,1
positive,,,,,,,,,, positive,attachment,1
positive,,,,,,,,,, positive,attainment,1
positive,,,,,,,,,, positive,attention,1
positive,,,,,,,,,, positive,attraction,1
positive,,,,,,,,,, positive,attractiveness,1
positive,,,,,,,,,, positive,augment,1
positive,,,,,,,,,, positive,august,1
positive,,,,,,,,,, positive,aura,1
positive,,,,,,,,,, positive,authorized,1
positive,,,,,,,,,, positive,avatar,1
positive,,,,,,,,,, positive,ay,1
positive,,,,,,,,,, positive,aye,1
positive,,,,,,,,,, positive,baccalaureate,1
positive,,,,,,,,,, positive,balance,1
positive,,,,,,,,,, positive,balanced,1
positive,,,,,,,,,, positive,ballad,1
positive,,,,,,,,,, positive,ballet,1
positive,,,,,,,,,, positive,balsam,1
positive,,,,,,,,,, positive,baptism,1
positive,,,,,,,,,, positive,bard,1
positive,,,,,,,,,, positive,bath,1
positive,,,,,,,,,, positive,befitting,1
positive,,,,,,,,,, positive,beneficial,1
positive,,,,,,,,,, positive,benefit,1
positive,,,,,,,,,, positive,berth,1
positive,,,,,,,,,, positive,betterment,1
positive,,,,,,,,,, positive,beverage,1
positive,,,,,,,,,, positive,biblical,1
positive,,,,,,,,,, positive,bilingual,1
positive,,,,,,,,,, positive,blameless,1
positive,,,,,,,,,, positive,bloodless,1
positive,,,,,,,,,, positive,bold,1
positive,,,,,,,,,, positive,boldness,1
positive,,,,,,,,,, positive,bolster,1
positive,,,,,,,,,, positive,bonne,1
positive,,,,,,,,,, positive,bookish,1
positive,,,,,,,,,, positive,bookshop,1
positive,,,,,,,,,, positive,boon,1
positive,,,,,,,,,, positive,brains,1
positive,,,,,,,,,, positive,bravery,1
positive,,,,,,,,,, positive,breakfast,1
positive,,,,,,,,,, positive,brightness,1
positive,,,,,,,,,, positive,brocade,1
positive,,,,,,,,,, positive,build,1
positive,,,,,,,,,, positive,building,1
positive,,,,,,,,,, positive,bulldog,1
positive,,,,,,,,,, positive,bulletproof,1
positive,,,,,,,,,, positive,buoy,1
positive,,,,,,,,,, positive,buttery,1
positive,,,,,,,,,, positive,buxom,1
positive,,,,,,,,,, positive,cab,1
positive,,,,,,,,,, positive,cafe,1
positive,,,,,,,,,, positive,calm,1
positive,,,,,,,,,, positive,canary,1
positive,,,,,,,,,, positive,candidate,1
positive,,,,,,,,,, positive,candied,1
positive,,,,,,,,,, positive,capitalist,1
positive,,,,,,,,,, positive,captain,1
positive,,,,,,,,,, positive,captivating,1
positive,,,,,,,,,, positive,careful,1
positive,,,,,,,,,, positive,carefully,1
positive,,,,,,,,,, positive,caress,1
positive,,,,,,,,,, positive,cascade,1
positive,,,,,,,,,, positive,categorical,1
positive,,,,,,,,,, positive,cater,1
positive,,,,,,,,,, positive,cathartic,1
positive,,,,,,,,,, positive,centurion,1
positive,,,,,,,,,, positive,cerebral,1
positive,,,,,,,,,, positive,certainty,1
positive,,,,,,,,,, positive,charger,1
positive,,,,,,,,,, positive,charm,1
positive,,,,,,,,,, positive,charming,1
positive,,,,,,,,,, positive,chattering,1
positive,,,,,,,,,, positive,cherry,1
positive,,,,,,,,,, positive,chieftain,1
positive,,,,,,,,,, positive,chisel,1
positive,,,,,,,,,, positive,chivalry,1
positive,,,,,,,,,, positive,choice,1
positive,,,,,,,,,, positive,chorus,1
positive,,,,,,,,,, positive,chosen,1
positive,,,,,,,,,, positive,chowder,1
positive,,,,,,,,,, positive,cider,1
positive,,,,,,,,,, positive,circumcision,1
positive,,,,,,,,,, positive,citizen,1
positive,,,,,,,,,, positive,civil,1
positive,,,,,,,,,, positive,civility,1
positive,,,,,,,,,, positive,clairvoyant,1
positive,,,,,,,,,, positive,clarify,1
positive,,,,,,,,,, positive,classic,1
positive,,,,,,,,,, positive,classical,1
positive,,,,,,,,,, positive,classify,1
positive,,,,,,,,,, positive,cleaning,1
positive,,,,,,,,,, positive,cleanliness,1
positive,,,,,,,,,, positive,cleanly,1
positive,,,,,,,,,, positive,cleanse,1
positive,,,,,,,,,, positive,cleansing,1
positive,,,,,,,,,, positive,clearness,1
positive,,,,,,,,,, positive,clever,1
positive,,,,,,,,,, positive,cleverness,1
positive,,,,,,,,,, positive,clothe,1
